file_name,extension,size,duration,video_codec,audio_codec,resolution
045 - Star.Wars.The.Clone.Wars.S02E22.1080p.BluRay.x264 - Lethal Trackdown.mkv,.mkv,1.46 GB,0:22:33,h264,ac3,1920x816
046 - Star.Wars.The.Clone.Wars.S03E05.1080p.BluRay.x264 - Corruption.mkv,.mkv,1.46 GB,0:22:07,h264,dts,1920x816
047 - Star.Wars.The.Clone.Wars.S03E06.1080p.BluRay.x264 - The Academy.mkv,.mkv,1.46 GB,0:22:35,h264,dts,1920x816
048 - Star.Wars.The.Clone.Wars.S03E07.1080p.BluRay.x264 - Assassin.mkv,.mkv,1.46 GB,0:22:36,h264,dts,1920x816
049 - Star.Wars.The.Clone.Wars.S03E02.1080p.BluRay.x264 - ARC Troopers.mkv,.mkv,1.46 GB,0:21:23,h264,dts,1920x816
050 - Star.Wars.The.Clone.Wars.S03E04.1080p.BluRay.x264 - Sphere of Influence.mkv,.mkv,1.46 GB,0:22:06,h264,dts,1920x816
051 - Star.Wars.The.Clone.Wars.S03E08.1080p.BluRay.x264 - Evil Plans.mkv,.mkv,1.46 GB,0:22:00,h264,dts,1920x816
052 - Star.Wars.The.Clone.Wars.S01E22.1080p.BluRay.x264 - Hostage Crisis.mkv,.mkv,1.09 GB,0:22:06,h264,ac3,1920x816
053 - Star.Wars.The.Clone.Wars.S03E09.1080p.BluRay.x264 - Hunt for Ziro.mkv,.mkv,1.46 GB,0:21:27,h264,dts,1920x816
054 - Star.Wars.The.Clone.Wars.S03E10.1080p.BluRay.x264 - Heroes on Both Side.mkv,.mkv,1.46 GB,0:22:29,h264,dts,1920x816
055 - Star.Wars.The.Clone.Wars.S03E11.1080p.BluRay.x264 - Pursuit of Peace.mkv,.mkv,1.46 GB,0:22:30,h264,dts,1920x816
056 - Star.Wars.The.Clone.Wars.S02E15.1080p.BluRay.x264 - Senate Murders.mkv,.mkv,1.45 GB,0:22:35,h264,ac3,1920x816
057 - Star.Wars.The.Clone.Wars.S03E12.1080p.BluRay.x264 - Nightsisters.mkv,.mkv,1.46 GB,0:22:38,h264,dts,1920x816
058 - Star.Wars.The.Clone.Wars.S03E13.1080p.BluRay.x264 - Monster.mkv,.mkv,1.46 GB,0:22:34,h264,dts,1920x816
059 - Star.Wars.The.Clone.Wars.S03E14.1080p.BluRay.x264 - Witches of the Mist.mkv,.mkv,1.46 GB,0:22:16,h264,dts,1920x816
060 - Star.Wars.The.Clone.Wars.S03E15.1080p.BluRay.x264 - Overlords.mkv,.mkv,1.46 GB,0:22:36,h264,dts,1920x816
061 - Star.Wars.The.Clone.Wars.S03E16.1080p.BluRay.x264 - Altar of Mortis.mkv,.mkv,1.46 GB,0:22:30,h264,dts,1920x816
062 - Star.Wars.The.Clone.Wars.S03E17.1080p.BluRay.x264 - Ghosts of Mortis.mkv,.mkv,1.46 GB,0:22:08,h264,dts,1920x816
063 - Star.Wars.The.Clone.Wars.S03E18.1080p.BluRay.x264 - The Citadel.mkv,.mkv,1.46 GB,0:22:19,h264,dts,1920x816
064 - Star.Wars.The.Clone.Wars.S03E19.1080p.BluRay.x264 - Counter Attack.mkv,.mkv,1.46 GB,0:22:14,h264,dts,1920x816
065 - Star.Wars.The.Clone.Wars.S03E20.1080p.BluRay.x264 - Citadel Rescue.mkv,.mkv,1.46 GB,0:22:09,h264,dts,1920x816
066 - Star.Wars.The.Clone.Wars.S03E21.1080p.BluRay.x264 - Padawan Lost.mkv,.mkv,1.46 GB,0:22:36,h264,dts,1920x816
067 - Star.Wars.The.Clone.Wars.S03E22.1080p.BluRay.x264 - Wookiee Hunt.mkv,.mkv,1.46 GB,0:22:35,h264,dts,1920x816
068 - Star.Wars.The.Clone.Wars.S04E01.1080p.BluRay.x264 - Water War.mkv,.mkv,1.09 GB,0:21:26,h264,dts,1920x816
069 - Star.Wars.The.Clone.Wars.S04E02.1080p.BluRay.x264 - Gungan Attack.mkv,.mkv,1.09 GB,0:22:36,h264,dts,1920x816
070 - Star.Wars.The.Clone.Wars.S04E03.1080p.BluRay.x264 - Prisoners.mkv,.mkv,1.09 GB,0:22:10,h264,dts,1920x816
071 - Star.Wars.The.Clone.Wars.S04E04.1080p.BluRay.x264 - Shadow Warrior.mkv,.mkv,1.09 GB,0:22:36,h264,dts,1920x816
072 - Star.Wars.The.Clone.Wars.S04E05.1080p.BluRay.x264 - Mercy Mission.mkv,.mkv,1.09 GB,0:22:38,h264,dts,1920x816
073 - Star.Wars.The.Clone.Wars.S04E06.1080p.BluRay.x264 - Nomad Droids.mkv,.mkv,1.09 GB,0:22:35,h264,dts,1920x816
074 - Star.Wars.The.Clone.Wars.S04E07.1080p.BluRay.x264 - Darkness on Umbara.mkv,.mkv,1.09 GB,0:22:16,h264,dts,1920x816
075 - Star.Wars.The.Clone.Wars.S04E08.1080p.BluRay.x264 - The General.mkv,.mkv,1.09 GB,0:22:35,h264,dts,1920x816
076 - Star.Wars.The.Clone.Wars.S04E09.1080p.BluRay.x264 - Plan of Dissent.mkv,.mkv,1.09 GB,0:22:35,h264,dts,1920x816
077 - Star.Wars.The.Clone.Wars.S04E10.1080p.BluRay.x264 - Carnage of Krell.mkv,.mkv,1.09 GB,0:22:33,h264,dts,1920x816
078 - Star.Wars.The.Clone.Wars.S04E11.1080p.BluRay.x264 - Kidnapped.mkv,.mkv,1.09 GB,0:22:27,h264,dts,1920x816
079 - Star.Wars.The.Clone.Wars.S04E12.1080p.BluRay.x264 - Slaves of the Republic.mkv,.mkv,1.09 GB,0:21:33,h264,dts,1920x816
080 - Star.Wars.The.Clone.Wars.S04E13.1080p.BluRay.x264 - Escape from Kadavo.mkv,.mkv,1.08 GB,0:22:27,h264,dts,1920x816
081 - Star.Wars.The.Clone.Wars.S04E14.1080p.BluRay.x264 - A Friend In Need.mkv,.mkv,1.09 GB,0:22:33,h264,dts,1920x816
082 - Star.Wars.The.Clone.Wars.S04E15.1080p.BluRay.x264 - Deception.mkv,.mkv,1.09 GB,0:22:35,h264,dts,1920x816
083 - Star.Wars.The.Clone.Wars.S04E16.1080p.BluRay.x264 - Friends and Enemies.mkv,.mkv,1.09 GB,0:22:36,h264,dts,1920x816
084 - Star.Wars.The.Clone.Wars.S04E17.1080p.BluRay.x264 - The Box.mkv,.mkv,1.09 GB,0:22:14,h264,dts,1920x816
085 - Star.Wars.The.Clone.Wars.S04E18.1080p.BluRay.x264 - Crisis on Naboo.mkv,.mkv,1.09 GB,0:21:59,h264,dts,1920x816
086 - Star.Wars.The.Clone.Wars.S04E19.1080p.BluRay.x264 - Massacre.mkv,.mkv,1.09 GB,0:22:35,h264,dts,1920x816
087 - Star.Wars.The.Clone.Wars.S04E20.1080p.BluRay.x264 - Bounty.mkv,.mkv,1.09 GB,0:22:30,h264,dts,1920x816
088 - Star.Wars.The.Clone.Wars.S04E21.1080p.BluRay.x264 - Brothers.mkv,.mkv,1.09 GB,0:20:56,h264,dts,1920x816
089 - Star.Wars.The.Clone.Wars.S04E22.1080p.BluRay.x264 - Revenge.mkv,.mkv,1.09 GB,0:22:34,h264,dts,1920x816
090 - Star.Wars.The.Clone.Wars.S05E02.1080p.BluRay.x264 - A War on Two Fronts.mkv,.mkv,1.09 GB,0:22:29,h264,dts,1920x816
091 - Star.Wars.The.Clone.Wars.S05E03.1080p.BluRay.x264 - Front Runners.mkv,.mkv,1.09 GB,0:22:34,h264,dts,1920x816
092 - Star.Wars.The.Clone.Wars.S05E04.1080p.BluRay.x264 - The Soft War.mkv,.mkv,1.09 GB,0:22:09,h264,dts,1920x816
093 - Star.Wars.The.Clone.Wars.S05E05.1080p.BluRay.x264 - Tipping Points.mkv,.mkv,1.09 GB,0:22:25,h264,dts,1920x816
094 - Star.Wars.The.Clone.Wars.S05E06.1080p.BluRay.x264 - The Gathering.mkv,.mkv,1.09 GB,0:22:28,h264,dts,1920x816
095 - Star.Wars.The.Clone.Wars.S05E07.1080p.BluRay.x264 - A Test of Strength.mkv,.mkv,1.09 GB,0:22:22,h264,dts,1920x816
096 - Star.Wars.The.Clone.Wars.S05E08.1080p.BluRay.x264 - Bound for Rescue.mkv,.mkv,1.09 GB,0:22:25,h264,dts,1920x816
097 - Star.Wars.The.Clone.Wars.S05E09.1080p.BluRay.x264 - A Necessary Bond.mkv,.mkv,1.09 GB,0:22:27,h264,dts,1920x816
098 - Star.Wars.The.Clone.Wars.S05E10.1080p.BluRay.x264 - Secret Weapons.mkv,.mkv,1.09 GB,0:22:21,h264,dts,1920x816
099 - Star.Wars.The.Clone.Wars.S05E11.1080p.BluRay.x264 - A Sunny Day in the Void.mkv,.mkv,1.09 GB,0:22:01,h264,dts,1920x816
100 - Star.Wars.The.Clone.Wars.S05E12.1080p.BluRay.x264 - Missing in Action.mkv,.mkv,1.09 GB,0:22:24,h264,dts,1920x816
101 - Star.Wars.The.Clone.Wars.S05E13.1080p.BluRay.x264 - Point of No Return.mkv,.mkv,1.09 GB,0:22:26,h264,dts,1920x816
102 - Star.Wars.The.Clone.Wars.S05E01.1080p.BluRay.x264 - Revival.mkv,.mkv,1.09 GB,0:22:19,h264,dts,1920x816
103 - Star.Wars.The.Clone.Wars.S05E14.1080p.BluRay.x264 - Eminence.mkv,.mkv,1.09 GB,0:22:17,h264,dts,1920x816
104 - Star.Wars.The.Clone.Wars.S05E15.1080p.BluRay.x264 - Shades of Reason.mkv,.mkv,1.09 GB,0:22:36,h264,dts,1920x816
105 - Star.Wars.The.Clone.Wars.S05E16.1080p.BluRay.x264 - The Lawless.mkv,.mkv,1.09 GB,0:22:40,h264,dts,1920x816
106 - Star.Wars.The.Clone.Wars.S05E17.1080p.BluRay.x264 - Sabotage.mkv,.mkv,1.09 GB,0:22:30,h264,dts,1920x816
107 - Star.Wars.The.Clone.Wars.S05E18.1080p.BluRay.x264 - The Jedi Who Knew Too Much.mkv,.mkv,1.09 GB,0:22:24,h264,dts,1920x816
108 - Star.Wars.The.Clone.Wars.S05E19.1080p.BluRay.x264 - To Catch a Jedi.mkv,.mkv,1.09 GB,0:22:11,h264,dts,1920x816
109 - Star.Wars.The.Clone.Wars.S05E20.1080p.BluRay.x264 - The Wrong Jedi.mkv,.mkv,1.09 GB,0:22:37,h264,dts,1920x816
110 - Star.Wars.The.Clone.Wars.S06E01.1080p.BluRay.x264 - The Unknown.mkv,.mkv,1.08 GB,0:22:29,h264,ac3,1920x816
111 - Star.Wars.The.Clone.Wars.S06E02.1080p.BluRay.x264 - Conspiracy.mkv,.mkv,1.08 GB,0:22:36,h264,ac3,1920x816
112 - Star.Wars.The.Clone.Wars.S06E03.1080p.BluRay.x264 - Fugitive.mkv,.mkv,1.08 GB,0:21:34,h264,ac3,1920x816
113 - Star.Wars.The.Clone.Wars.S06E04.1080p.BluRay.x264 - Orders.mkv,.mkv,1.08 GB,0:22:52,h264,ac3,1920x816
114 - Star.Wars.The.Clone.Wars.S06E05.1080p.BluRay.x264 - An Old Friend.mkv,.mkv,1.08 GB,0:22:14,h264,ac3,1920x816
